INFO flwr 2023-04-10 01:59:36,427 | app.py:139 | Starting Flower server, config: ServerConfig(num_rounds=100, round_timeout=6000)
INFO flwr 2023-04-10 01:59:36,434 | app.py:152 | Flower ECE: gRPC server running (100 rounds), SSL is disabled
INFO flwr 2023-04-10 01:59:36,434 | server.py:86 | Initializing global parameters
INFO flwr 2023-04-10 01:59:36,434 | server.py:270 | Requesting initial parameters from one random client
INFO flwr 2023-04-10 01:59:40,122 | server.py:274 | Received initial parameters from one random client
INFO flwr 2023-04-10 01:59:40,122 | server.py:88 | Evaluating initial parameters
INFO flwr 2023-04-10 01:59:40,122 | server.py:101 | FL starting
DEBUG flwr 2023-04-10 01:59:40,122 | server.py:215 | fit_round 1: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 01:59:45,788 | server.py:229 | fit_round 1 received 1 results and 0 failures
WARNING flwr 2023-04-10 01:59:45,791 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
DEBUG flwr 2023-04-10 01:59:45,791 | server.py:165 | evaluate_round 1: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:00:12,344 | server.py:179 | evaluate_round 1 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:00:12,344 | server.py:215 | fit_round 2: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:00:18,137 | server.py:229 | fit_round 2 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:00:18,139 | server.py:165 | evaluate_round 2: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:00:44,137 | server.py:179 | evaluate_round 2 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:00:44,137 | server.py:215 | fit_round 3: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:00:49,723 | server.py:229 | fit_round 3 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:00:49,725 | server.py:165 | evaluate_round 3: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:01:15,421 | server.py:179 | evaluate_round 3 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:01:15,421 | server.py:215 | fit_round 4: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:01:21,137 | server.py:229 | fit_round 4 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:01:21,138 | server.py:165 | evaluate_round 4: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:01:47,128 | server.py:179 | evaluate_round 4 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:01:47,128 | server.py:215 | fit_round 5: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:01:52,659 | server.py:229 | fit_round 5 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:01:52,661 | server.py:165 | evaluate_round 5: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:02:18,097 | server.py:179 | evaluate_round 5 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:02:18,097 | server.py:215 | fit_round 6: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:02:23,650 | server.py:229 | fit_round 6 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:02:23,651 | server.py:165 | evaluate_round 6: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:02:48,042 | server.py:179 | evaluate_round 6 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:02:48,042 | server.py:215 | fit_round 7: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:02:53,405 | server.py:229 | fit_round 7 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:02:53,407 | server.py:165 | evaluate_round 7: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:03:17,867 | server.py:179 | evaluate_round 7 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:03:17,867 | server.py:215 | fit_round 8: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:03:23,301 | server.py:229 | fit_round 8 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:03:23,302 | server.py:165 | evaluate_round 8: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:03:47,022 | server.py:179 | evaluate_round 8 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:03:47,022 | server.py:215 | fit_round 9: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:03:52,416 | server.py:229 | fit_round 9 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:03:52,417 | server.py:165 | evaluate_round 9: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:04:16,221 | server.py:179 | evaluate_round 9 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:04:16,221 | server.py:215 | fit_round 10: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:04:21,719 | server.py:229 | fit_round 10 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:04:21,720 | server.py:165 | evaluate_round 10: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:04:45,686 | server.py:179 | evaluate_round 10 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:04:45,686 | server.py:215 | fit_round 11: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:04:51,320 | server.py:229 | fit_round 11 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:04:51,321 | server.py:165 | evaluate_round 11: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:05:14,930 | server.py:179 | evaluate_round 11 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:05:14,930 | server.py:215 | fit_round 12: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:05:20,278 | server.py:229 | fit_round 12 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:05:20,280 | server.py:165 | evaluate_round 12: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:05:44,541 | server.py:179 | evaluate_round 12 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:05:44,541 | server.py:215 | fit_round 13: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:05:50,217 | server.py:229 | fit_round 13 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:05:50,219 | server.py:165 | evaluate_round 13: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:06:15,095 | server.py:179 | evaluate_round 13 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:06:15,096 | server.py:215 | fit_round 14: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:06:20,459 | server.py:229 | fit_round 14 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:06:20,460 | server.py:165 | evaluate_round 14: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:06:45,306 | server.py:179 | evaluate_round 14 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:06:45,306 | server.py:215 | fit_round 15: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:06:50,767 | server.py:229 | fit_round 15 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:06:50,768 | server.py:165 | evaluate_round 15: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:07:15,027 | server.py:179 | evaluate_round 15 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:07:15,027 | server.py:215 | fit_round 16: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:07:20,583 | server.py:229 | fit_round 16 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:07:20,585 | server.py:165 | evaluate_round 16: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:07:45,822 | server.py:179 | evaluate_round 16 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:07:45,822 | server.py:215 | fit_round 17: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:07:51,255 | server.py:229 | fit_round 17 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:07:51,256 | server.py:165 | evaluate_round 17: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:08:15,750 | server.py:179 | evaluate_round 17 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:08:15,750 | server.py:215 | fit_round 18: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:08:21,182 | server.py:229 | fit_round 18 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:08:21,184 | server.py:165 | evaluate_round 18: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:08:46,265 | server.py:179 | evaluate_round 18 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:08:46,266 | server.py:215 | fit_round 19: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:08:51,873 | server.py:229 | fit_round 19 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:08:51,875 | server.py:165 | evaluate_round 19: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:09:16,197 | server.py:179 | evaluate_round 19 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:09:16,197 | server.py:215 | fit_round 20: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:09:21,562 | server.py:229 | fit_round 20 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:09:21,563 | server.py:165 | evaluate_round 20: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:09:42,228 | server.py:179 | evaluate_round 20 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:09:42,228 | server.py:215 | fit_round 21: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:09:47,674 | server.py:229 | fit_round 21 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:09:47,675 | server.py:165 | evaluate_round 21: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:10:08,863 | server.py:179 | evaluate_round 21 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:10:08,863 | server.py:215 | fit_round 22: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:10:13,995 | server.py:229 | fit_round 22 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:10:13,996 | server.py:165 | evaluate_round 22: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:10:35,226 | server.py:179 | evaluate_round 22 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:10:35,226 | server.py:215 | fit_round 23: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:10:40,362 | server.py:229 | fit_round 23 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:10:40,364 | server.py:165 | evaluate_round 23: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:11:01,740 | server.py:179 | evaluate_round 23 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:11:01,740 | server.py:215 | fit_round 24: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:11:06,842 | server.py:229 | fit_round 24 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:11:06,843 | server.py:165 | evaluate_round 24: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:11:28,051 | server.py:179 | evaluate_round 24 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:11:28,051 | server.py:215 | fit_round 25: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:11:33,144 | server.py:229 | fit_round 25 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:11:33,146 | server.py:165 | evaluate_round 25: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:11:54,371 | server.py:179 | evaluate_round 25 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:11:54,371 | server.py:215 | fit_round 26: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:11:59,452 | server.py:229 | fit_round 26 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:11:59,453 | server.py:165 | evaluate_round 26: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:12:20,692 | server.py:179 | evaluate_round 26 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:12:20,692 | server.py:215 | fit_round 27: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:12:25,774 | server.py:229 | fit_round 27 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:12:25,775 | server.py:165 | evaluate_round 27: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:12:46,915 | server.py:179 | evaluate_round 27 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:12:46,915 | server.py:215 | fit_round 28: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:12:51,972 | server.py:229 | fit_round 28 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:12:51,973 | server.py:165 | evaluate_round 28: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:13:13,282 | server.py:179 | evaluate_round 28 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:13:13,282 | server.py:215 | fit_round 29: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:13:18,354 | server.py:229 | fit_round 29 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:13:18,355 | server.py:165 | evaluate_round 29: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:13:40,648 | server.py:179 | evaluate_round 29 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:13:40,648 | server.py:215 | fit_round 30: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:13:46,227 | server.py:229 | fit_round 30 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:13:46,229 | server.py:165 | evaluate_round 30: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:14:09,290 | server.py:179 | evaluate_round 30 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:14:09,290 | server.py:215 | fit_round 31: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:14:14,736 | server.py:229 | fit_round 31 received 1 results and 0 failures
DEBUG flwr 2023-04-10 02:14:14,737 | server.py:165 | evaluate_round 31: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-10 02:14:37,847 | server.py:179 | evaluate_round 31 received 1 results and 0 failures
evaluate_round 1 received 1 results and 0 timeouts
time: 36.211212916
losses_distributed: [[2.3019344806671143]]
metrics_distributed: [[0.10071007100710071]]
evaluate_round 2 received 1 results and 0 timeouts
time: 68.006770625
