INFO flwr 2023-04-09 15:55:48,326 | app.py:139 | Starting Flower server, config: ServerConfig(num_rounds=100, round_timeout=6000)
INFO flwr 2023-04-09 15:55:48,333 | app.py:152 | Flower ECE: gRPC server running (100 rounds), SSL is disabled
INFO flwr 2023-04-09 15:55:48,333 | server.py:86 | Initializing global parameters
INFO flwr 2023-04-09 15:55:48,333 | server.py:270 | Requesting initial parameters from one random client
INFO flwr 2023-04-09 15:55:51,360 | server.py:274 | Received initial parameters from one random client
INFO flwr 2023-04-09 15:55:51,360 | server.py:88 | Evaluating initial parameters
INFO flwr 2023-04-09 15:55:51,360 | server.py:101 | FL starting
DEBUG flwr 2023-04-09 15:55:51,360 | server.py:215 | fit_round 1: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 15:55:56,770 | server.py:229 | fit_round 1 received 1 results and 0 failures
WARNING flwr 2023-04-09 15:55:56,774 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
DEBUG flwr 2023-04-09 15:55:56,774 | server.py:165 | evaluate_round 1: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 15:56:03,040 | server.py:179 | evaluate_round 1 received 1 results and 0 failures
DEBUG flwr 2023-04-09 15:56:03,040 | server.py:215 | fit_round 2: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 15:56:08,085 | server.py:229 | fit_round 2 received 1 results and 0 failures
DEBUG flwr 2023-04-09 15:56:08,087 | server.py:165 | evaluate_round 2: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 15:56:14,204 | server.py:179 | evaluate_round 2 received 1 results and 0 failures
DEBUG flwr 2023-04-09 15:56:14,204 | server.py:215 | fit_round 3: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 15:56:19,244 | server.py:229 | fit_round 3 received 1 results and 0 failures
DEBUG flwr 2023-04-09 15:56:19,245 | server.py:165 | evaluate_round 3: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 15:56:25,421 | server.py:179 | evaluate_round 3 received 1 results and 0 failures
DEBUG flwr 2023-04-09 15:56:25,421 | server.py:215 | fit_round 4: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 15:56:30,484 | server.py:229 | fit_round 4 received 1 results and 0 failures
DEBUG flwr 2023-04-09 15:56:30,485 | server.py:165 | evaluate_round 4: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 15:56:36,666 | server.py:179 | evaluate_round 4 received 1 results and 0 failures
DEBUG flwr 2023-04-09 15:56:36,666 | server.py:215 | fit_round 5: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 15:56:41,732 | server.py:229 | fit_round 5 received 1 results and 0 failures
DEBUG flwr 2023-04-09 15:56:41,733 | server.py:165 | evaluate_round 5: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 15:56:47,892 | server.py:179 | evaluate_round 5 received 1 results and 0 failures
DEBUG flwr 2023-04-09 15:56:47,892 | server.py:215 | fit_round 6: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 15:56:52,955 | server.py:229 | fit_round 6 received 1 results and 0 failures
