INFO flower 2023-10-04 22:30:07,401 | app.py:131 | Starting Flower server, config: ServerConfig(num_rounds=100, round_timeout=1000)
INFO flower 2023-10-04 22:30:07,405 | app.py:144 | Flower ECE: gRPC server running (100 rounds), SSL is disabled
INFO flower 2023-10-04 22:30:07,405 | server.py:86 | Initializing global parameters
INFO flower 2023-10-04 22:30:07,405 | server.py:270 | Requesting initial parameters from one random client
INFO flower 2023-10-04 22:30:11,086 | server.py:274 | Received initial parameters from one random client
INFO flower 2023-10-04 22:30:11,087 | server.py:88 | Evaluating initial parameters
INFO flower 2023-10-04 22:30:11,087 | server.py:101 | FL starting
DEBUG flower 2023-10-04 22:30:11,087 | server.py:215 | fit_round 1: strategy sampled 1 clients (out of 1)
DEBUG flower 2023-10-04 22:30:22,337 | server.py:229 | fit_round 1 received 1 results and 0 failures
WARNING flower 2023-10-04 22:30:22,339 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
DEBUG flower 2023-10-04 22:30:22,340 | server.py:165 | evaluate_round 1: strategy sampled 25 clients (out of 25)
DEBUG flower 2023-10-04 22:32:48,021 | server.py:179 | evaluate_round 1 received 25 results and 0 failures
DEBUG flower 2023-10-04 22:32:48,022 | server.py:215 | fit_round 2: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-04 22:33:45,316 | server.py:229 | fit_round 2 received 35 results and 0 failures
DEBUG flower 2023-10-04 22:33:45,361 | server.py:165 | evaluate_round 2: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-04 22:37:05,953 | server.py:179 | evaluate_round 2 received 35 results and 0 failures
DEBUG flower 2023-10-04 22:37:05,953 | server.py:215 | fit_round 3: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-04 22:38:08,856 | server.py:229 | fit_round 3 received 35 results and 0 failures
DEBUG flower 2023-10-04 22:38:08,902 | server.py:165 | evaluate_round 3: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-04 22:48:47,502 | server.py:179 | evaluate_round 3 received 35 results and 0 failures
DEBUG flower 2023-10-04 22:48:47,502 | server.py:215 | fit_round 4: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-04 22:55:35,389 | server.py:229 | fit_round 4 received 35 results and 0 failures
DEBUG flower 2023-10-04 22:55:35,534 | server.py:165 | evaluate_round 4: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-04 23:12:45,021 | server.py:179 | evaluate_round 4 received 35 results and 0 failures
DEBUG flower 2023-10-04 23:12:45,022 | server.py:215 | fit_round 5: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-04 23:18:59,660 | server.py:229 | fit_round 5 received 35 results and 0 failures
DEBUG flower 2023-10-04 23:18:59,801 | server.py:165 | evaluate_round 5: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-04 23:29:27,374 | server.py:179 | evaluate_round 5 received 35 results and 0 failures
DEBUG flower 2023-10-04 23:29:27,374 | server.py:215 | fit_round 6: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-04 23:33:26,091 | server.py:229 | fit_round 6 received 35 results and 0 failures
DEBUG flower 2023-10-04 23:33:26,223 | server.py:165 | evaluate_round 6: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-04 23:41:43,978 | server.py:179 | evaluate_round 6 received 35 results and 0 failures
DEBUG flower 2023-10-04 23:41:43,978 | server.py:215 | fit_round 7: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-04 23:46:08,766 | server.py:229 | fit_round 7 received 35 results and 0 failures
DEBUG flower 2023-10-04 23:46:08,851 | server.py:165 | evaluate_round 7: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-04 23:56:47,159 | server.py:179 | evaluate_round 7 received 35 results and 0 failures
DEBUG flower 2023-10-04 23:56:47,159 | server.py:215 | fit_round 8: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 00:01:28,380 | server.py:229 | fit_round 8 received 35 results and 0 failures
DEBUG flower 2023-10-05 00:01:28,471 | server.py:165 | evaluate_round 8: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 00:11:52,007 | server.py:179 | evaluate_round 8 received 35 results and 0 failures
DEBUG flower 2023-10-05 00:11:52,008 | server.py:215 | fit_round 9: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 00:16:03,382 | server.py:229 | fit_round 9 received 35 results and 0 failures
DEBUG flower 2023-10-05 00:16:03,497 | server.py:165 | evaluate_round 9: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 00:26:13,215 | server.py:179 | evaluate_round 9 received 35 results and 0 failures
DEBUG flower 2023-10-05 00:26:13,215 | server.py:215 | fit_round 10: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 00:31:02,058 | server.py:229 | fit_round 10 received 35 results and 0 failures
DEBUG flower 2023-10-05 00:31:02,163 | server.py:165 | evaluate_round 10: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 00:42:33,068 | server.py:179 | evaluate_round 10 received 35 results and 0 failures
DEBUG flower 2023-10-05 00:42:33,068 | server.py:215 | fit_round 11: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 00:46:54,407 | server.py:229 | fit_round 11 received 35 results and 0 failures
DEBUG flower 2023-10-05 00:46:54,514 | server.py:165 | evaluate_round 11: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 00:59:10,247 | server.py:179 | evaluate_round 11 received 35 results and 0 failures
DEBUG flower 2023-10-05 00:59:10,247 | server.py:215 | fit_round 12: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 01:03:43,562 | server.py:229 | fit_round 12 received 35 results and 0 failures
DEBUG flower 2023-10-05 01:03:43,695 | server.py:165 | evaluate_round 12: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 01:13:11,302 | server.py:179 | evaluate_round 12 received 35 results and 0 failures
DEBUG flower 2023-10-05 01:13:11,303 | server.py:215 | fit_round 13: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 01:16:24,931 | server.py:229 | fit_round 13 received 35 results and 0 failures
DEBUG flower 2023-10-05 01:16:24,976 | server.py:165 | evaluate_round 13: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 01:19:35,420 | server.py:179 | evaluate_round 13 received 35 results and 0 failures
DEBUG flower 2023-10-05 01:19:35,420 | server.py:215 | fit_round 14: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 01:23:15,375 | server.py:229 | fit_round 14 received 35 results and 0 failures
DEBUG flower 2023-10-05 01:23:15,488 | server.py:165 | evaluate_round 14: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 01:43:42,355 | server.py:179 | evaluate_round 14 received 35 results and 0 failures
DEBUG flower 2023-10-05 01:43:42,356 | server.py:215 | fit_round 15: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 01:51:16,626 | server.py:229 | fit_round 15 received 35 results and 0 failures
DEBUG flower 2023-10-05 01:51:16,775 | server.py:165 | evaluate_round 15: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 02:04:31,267 | server.py:179 | evaluate_round 15 received 35 results and 0 failures
DEBUG flower 2023-10-05 02:04:31,268 | server.py:215 | fit_round 16: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 02:08:58,714 | server.py:229 | fit_round 16 received 35 results and 0 failures
DEBUG flower 2023-10-05 02:08:58,804 | server.py:165 | evaluate_round 16: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 02:18:50,305 | server.py:179 | evaluate_round 16 received 35 results and 0 failures
DEBUG flower 2023-10-05 02:18:50,306 | server.py:215 | fit_round 17: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 02:22:50,906 | server.py:229 | fit_round 17 received 35 results and 0 failures
DEBUG flower 2023-10-05 02:22:50,995 | server.py:165 | evaluate_round 17: strategy sampled 35 clients (out of 35)
