INFO flwr 2023-04-09 01:15:48,031 | app.py:139 | Starting Flower server, config: ServerConfig(num_rounds=100, round_timeout=6000)
INFO flwr 2023-04-09 01:15:48,038 | app.py:152 | Flower ECE: gRPC server running (100 rounds), SSL is disabled
INFO flwr 2023-04-09 01:15:48,039 | server.py:86 | Initializing global parameters
INFO flwr 2023-04-09 01:15:48,039 | server.py:270 | Requesting initial parameters from one random client
INFO flwr 2023-04-09 01:15:51,494 | server.py:274 | Received initial parameters from one random client
INFO flwr 2023-04-09 01:15:51,494 | server.py:88 | Evaluating initial parameters
INFO flwr 2023-04-09 01:15:51,494 | server.py:101 | FL starting
DEBUG flwr 2023-04-09 01:15:51,494 | server.py:215 | fit_round 1: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 01:15:56,798 | server.py:229 | fit_round 1 received 1 results and 0 failures
WARNING flwr 2023-04-09 01:15:56,801 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
DEBUG flwr 2023-04-09 01:15:56,801 | server.py:165 | evaluate_round 1: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 01:16:09,183 | server.py:179 | evaluate_round 1 received 1 results and 0 failures
DEBUG flwr 2023-04-09 01:16:09,183 | server.py:215 | fit_round 2: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 01:16:14,227 | server.py:229 | fit_round 2 received 1 results and 0 failures
DEBUG flwr 2023-04-09 01:16:14,229 | server.py:165 | evaluate_round 2: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 01:16:26,522 | server.py:179 | evaluate_round 2 received 1 results and 0 failures
DEBUG flwr 2023-04-09 01:16:26,522 | server.py:215 | fit_round 3: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 01:16:31,545 | server.py:229 | fit_round 3 received 1 results and 0 failures
DEBUG flwr 2023-04-09 01:16:31,546 | server.py:165 | evaluate_round 3: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 01:16:43,805 | server.py:179 | evaluate_round 3 received 1 results and 0 failures
DEBUG flwr 2023-04-09 01:16:43,805 | server.py:215 | fit_round 4: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 01:16:48,790 | server.py:229 | fit_round 4 received 1 results and 0 failures
DEBUG flwr 2023-04-09 01:16:48,792 | server.py:165 | evaluate_round 4: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 01:17:01,015 | server.py:179 | evaluate_round 4 received 1 results and 0 failures
DEBUG flwr 2023-04-09 01:17:01,015 | server.py:215 | fit_round 5: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 01:17:05,999 | server.py:229 | fit_round 5 received 1 results and 0 failures
DEBUG flwr 2023-04-09 01:17:06,001 | server.py:165 | evaluate_round 5: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 01:17:18,419 | server.py:179 | evaluate_round 5 received 1 results and 0 failures
DEBUG flwr 2023-04-09 01:17:18,419 | server.py:215 | fit_round 6: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 01:17:23,445 | server.py:229 | fit_round 6 received 1 results and 0 failures
DEBUG flwr 2023-04-09 01:17:23,446 | server.py:165 | evaluate_round 6: strategy sampled 1 clients (out of 1)
