INFO flower 2023-10-14 12:10:01,580 | app.py:131 | Starting Flower server, config: ServerConfig(num_rounds=100, round_timeout=4000)
INFO flower 2023-10-14 12:10:01,594 | app.py:144 | Flower ECE: gRPC server running (100 rounds), SSL is disabled
INFO flower 2023-10-14 12:10:01,594 | server.py:86 | Initializing global parameters
INFO flower 2023-10-14 12:10:01,594 | server.py:270 | Requesting initial parameters from one random client
INFO flower 2023-10-14 12:10:05,937 | server.py:274 | Received initial parameters from one random client
INFO flower 2023-10-14 12:10:06,008 | server.py:88 | Evaluating initial parameters
INFO flower 2023-10-14 12:10:06,008 | server.py:101 | FL starting
DEBUG flower 2023-10-14 12:10:06,010 | server.py:215 | fit_round 1: strategy sampled 1 clients (out of 1)
DEBUG flower 2023-10-14 12:10:17,868 | server.py:229 | fit_round 1 received 1 results and 0 failures
WARNING flower 2023-10-14 12:10:17,879 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
DEBUG flower 2023-10-14 12:10:17,896 | server.py:165 | evaluate_round 1: strategy sampled 32 clients (out of 32)
DEBUG flower 2023-10-14 12:17:30,006 | server.py:179 | evaluate_round 1 received 32 results and 0 failures
DEBUG flower 2023-10-14 12:17:30,006 | server.py:215 | fit_round 2: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-14 12:18:33,125 | server.py:229 | fit_round 2 received 35 results and 0 failures
DEBUG flower 2023-10-14 12:18:33,175 | server.py:165 | evaluate_round 2: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-14 12:27:54,207 | server.py:179 | evaluate_round 2 received 35 results and 0 failures
DEBUG flower 2023-10-14 12:27:54,207 | server.py:215 | fit_round 3: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-14 12:28:51,741 | server.py:229 | fit_round 3 received 35 results and 0 failures
DEBUG flower 2023-10-14 12:28:51,784 | server.py:165 | evaluate_round 3: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-14 12:38:08,630 | server.py:179 | evaluate_round 3 received 35 results and 0 failures
DEBUG flower 2023-10-14 12:38:08,630 | server.py:215 | fit_round 4: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-14 12:39:01,850 | server.py:229 | fit_round 4 received 35 results and 0 failures
DEBUG flower 2023-10-14 12:39:01,892 | server.py:165 | evaluate_round 4: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-14 12:48:19,816 | server.py:179 | evaluate_round 4 received 35 results and 0 failures
DEBUG flower 2023-10-14 12:48:19,817 | server.py:215 | fit_round 5: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-14 12:49:18,471 | server.py:229 | fit_round 5 received 35 results and 0 failures
DEBUG flower 2023-10-14 12:49:18,511 | server.py:165 | evaluate_round 5: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-14 12:58:45,417 | server.py:179 | evaluate_round 5 received 35 results and 0 failures
DEBUG flower 2023-10-14 12:58:45,418 | server.py:215 | fit_round 6: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-14 12:59:42,118 | server.py:229 | fit_round 6 received 35 results and 0 failures
DEBUG flower 2023-10-14 12:59:42,161 | server.py:165 | evaluate_round 6: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-14 13:08:48,079 | server.py:179 | evaluate_round 6 received 35 results and 0 failures
DEBUG flower 2023-10-14 13:08:48,079 | server.py:215 | fit_round 7: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-14 13:09:47,012 | server.py:229 | fit_round 7 received 35 results and 0 failures
DEBUG flower 2023-10-14 13:09:47,055 | server.py:165 | evaluate_round 7: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-14 13:19:04,105 | server.py:179 | evaluate_round 7 received 35 results and 0 failures
DEBUG flower 2023-10-14 13:19:04,106 | server.py:215 | fit_round 8: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-14 13:20:00,738 | server.py:229 | fit_round 8 received 35 results and 0 failures
DEBUG flower 2023-10-14 13:20:00,779 | server.py:165 | evaluate_round 8: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-14 13:29:23,435 | server.py:179 | evaluate_round 8 received 35 results and 0 failures
DEBUG flower 2023-10-14 13:29:23,436 | server.py:215 | fit_round 9: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-14 13:30:21,908 | server.py:229 | fit_round 9 received 35 results and 0 failures
DEBUG flower 2023-10-14 13:30:21,954 | server.py:165 | evaluate_round 9: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-14 13:39:52,274 | server.py:179 | evaluate_round 9 received 35 results and 0 failures
DEBUG flower 2023-10-14 13:39:52,274 | server.py:215 | fit_round 10: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-14 13:40:50,765 | server.py:229 | fit_round 10 received 35 results and 0 failures
DEBUG flower 2023-10-14 13:40:50,807 | server.py:165 | evaluate_round 10: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-14 13:50:21,012 | server.py:179 | evaluate_round 10 received 35 results and 0 failures
DEBUG flower 2023-10-14 13:50:21,013 | server.py:215 | fit_round 11: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-14 13:51:17,329 | server.py:229 | fit_round 11 received 35 results and 0 failures
DEBUG flower 2023-10-14 13:51:17,370 | server.py:165 | evaluate_round 11: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-14 14:00:44,711 | server.py:179 | evaluate_round 11 received 35 results and 0 failures
DEBUG flower 2023-10-14 14:00:44,712 | server.py:215 | fit_round 12: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-14 14:01:41,477 | server.py:229 | fit_round 12 received 35 results and 0 failures
DEBUG flower 2023-10-14 14:01:41,519 | server.py:165 | evaluate_round 12: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-14 14:11:11,287 | server.py:179 | evaluate_round 12 received 35 results and 0 failures
DEBUG flower 2023-10-14 14:11:11,288 | server.py:215 | fit_round 13: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-14 14:12:09,072 | server.py:229 | fit_round 13 received 35 results and 0 failures
DEBUG flower 2023-10-14 14:12:09,113 | server.py:165 | evaluate_round 13: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-14 14:21:44,936 | server.py:179 | evaluate_round 13 received 35 results and 0 failures
DEBUG flower 2023-10-14 14:21:44,937 | server.py:215 | fit_round 14: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-14 14:22:42,742 | server.py:229 | fit_round 14 received 35 results and 0 failures
DEBUG flower 2023-10-14 14:22:42,787 | server.py:165 | evaluate_round 14: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-14 14:32:14,194 | server.py:179 | evaluate_round 14 received 35 results and 0 failures
DEBUG flower 2023-10-14 14:32:14,195 | server.py:215 | fit_round 15: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-14 14:33:12,899 | server.py:229 | fit_round 15 received 35 results and 0 failures
DEBUG flower 2023-10-14 14:33:12,943 | server.py:165 | evaluate_round 15: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-14 14:42:45,497 | server.py:179 | evaluate_round 15 received 35 results and 0 failures
