INFO flower 2023-10-11 14:28:26,682 | app.py:131 | Starting Flower server, config: ServerConfig(num_rounds=100, round_timeout=5000)
INFO flower 2023-10-11 14:28:26,690 | app.py:144 | Flower ECE: gRPC server running (100 rounds), SSL is disabled
INFO flower 2023-10-11 14:28:26,691 | server.py:86 | Initializing global parameters
INFO flower 2023-10-11 14:28:26,691 | server.py:270 | Requesting initial parameters from one random client
INFO flower 2023-10-11 14:28:29,472 | server.py:274 | Received initial parameters from one random client
INFO flower 2023-10-11 14:28:29,472 | server.py:88 | Evaluating initial parameters
INFO flower 2023-10-11 14:28:29,472 | server.py:101 | FL starting
DEBUG flower 2023-10-11 14:28:29,472 | server.py:215 | fit_round 1: strategy sampled 1 clients (out of 1)
DEBUG flower 2023-10-11 14:28:45,832 | server.py:229 | fit_round 1 received 1 results and 0 failures
WARNING flower 2023-10-11 14:28:45,835 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
DEBUG flower 2023-10-11 14:28:45,837 | server.py:165 | evaluate_round 1: strategy sampled 29 clients (out of 29)
DEBUG flower 2023-10-11 14:36:16,691 | server.py:179 | evaluate_round 1 received 29 results and 0 failures
DEBUG flower 2023-10-11 14:36:16,692 | server.py:215 | fit_round 2: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-11 14:37:26,504 | server.py:229 | fit_round 2 received 35 results and 0 failures
DEBUG flower 2023-10-11 14:37:26,549 | server.py:165 | evaluate_round 2: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-11 14:48:50,001 | server.py:179 | evaluate_round 2 received 35 results and 0 failures
DEBUG flower 2023-10-11 14:48:50,002 | server.py:215 | fit_round 3: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-11 14:50:01,418 | server.py:229 | fit_round 3 received 35 results and 0 failures
DEBUG flower 2023-10-11 14:50:01,461 | server.py:165 | evaluate_round 3: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-11 15:01:43,599 | server.py:179 | evaluate_round 3 received 35 results and 0 failures
DEBUG flower 2023-10-11 15:01:43,599 | server.py:215 | fit_round 4: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-11 15:03:01,377 | server.py:229 | fit_round 4 received 35 results and 0 failures
DEBUG flower 2023-10-11 15:03:01,421 | server.py:165 | evaluate_round 4: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-11 15:14:31,387 | server.py:179 | evaluate_round 4 received 35 results and 0 failures
DEBUG flower 2023-10-11 15:14:31,388 | server.py:215 | fit_round 5: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-11 15:15:36,315 | server.py:229 | fit_round 5 received 35 results and 0 failures
DEBUG flower 2023-10-11 15:15:36,358 | server.py:165 | evaluate_round 5: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-11 15:26:32,731 | server.py:179 | evaluate_round 5 received 35 results and 0 failures
DEBUG flower 2023-10-11 15:26:32,733 | server.py:215 | fit_round 6: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-11 15:27:41,226 | server.py:229 | fit_round 6 received 35 results and 0 failures
DEBUG flower 2023-10-11 15:27:41,276 | server.py:165 | evaluate_round 6: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-11 15:38:17,840 | server.py:179 | evaluate_round 6 received 35 results and 0 failures
DEBUG flower 2023-10-11 15:38:17,840 | server.py:215 | fit_round 7: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-11 15:39:29,856 | server.py:229 | fit_round 7 received 35 results and 0 failures
DEBUG flower 2023-10-11 15:39:29,898 | server.py:165 | evaluate_round 7: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-11 15:50:34,713 | server.py:179 | evaluate_round 7 received 35 results and 0 failures
DEBUG flower 2023-10-11 15:50:34,714 | server.py:215 | fit_round 8: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-11 15:51:41,691 | server.py:229 | fit_round 8 received 35 results and 0 failures
DEBUG flower 2023-10-11 15:51:41,743 | server.py:165 | evaluate_round 8: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-11 16:02:49,423 | server.py:179 | evaluate_round 8 received 35 results and 0 failures
DEBUG flower 2023-10-11 16:02:49,424 | server.py:215 | fit_round 9: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-11 16:04:01,613 | server.py:229 | fit_round 9 received 35 results and 0 failures
DEBUG flower 2023-10-11 16:04:01,656 | server.py:165 | evaluate_round 9: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-11 16:15:09,691 | server.py:179 | evaluate_round 9 received 35 results and 0 failures
DEBUG flower 2023-10-11 16:15:09,692 | server.py:215 | fit_round 10: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-11 16:16:21,191 | server.py:229 | fit_round 10 received 35 results and 0 failures
DEBUG flower 2023-10-11 16:16:21,240 | server.py:165 | evaluate_round 10: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-11 16:27:34,401 | server.py:179 | evaluate_round 10 received 35 results and 0 failures
DEBUG flower 2023-10-11 16:27:34,401 | server.py:215 | fit_round 11: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-11 16:28:47,107 | server.py:229 | fit_round 11 received 35 results and 0 failures
DEBUG flower 2023-10-11 16:28:47,155 | server.py:165 | evaluate_round 11: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-11 16:40:04,845 | server.py:179 | evaluate_round 11 received 35 results and 0 failures
DEBUG flower 2023-10-11 16:40:04,846 | server.py:215 | fit_round 12: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-11 16:41:18,407 | server.py:229 | fit_round 12 received 35 results and 0 failures
DEBUG flower 2023-10-11 16:41:18,459 | server.py:165 | evaluate_round 12: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-11 16:52:38,842 | server.py:179 | evaluate_round 12 received 35 results and 0 failures
DEBUG flower 2023-10-11 16:52:38,842 | server.py:215 | fit_round 13: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-11 16:53:51,856 | server.py:229 | fit_round 13 received 35 results and 0 failures
DEBUG flower 2023-10-11 16:53:51,901 | server.py:165 | evaluate_round 13: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-11 17:05:06,009 | server.py:179 | evaluate_round 13 received 35 results and 0 failures
DEBUG flower 2023-10-11 17:05:06,009 | server.py:215 | fit_round 14: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-11 17:06:39,375 | server.py:229 | fit_round 14 received 35 results and 0 failures
DEBUG flower 2023-10-11 17:06:39,439 | server.py:165 | evaluate_round 14: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-11 17:17:08,468 | server.py:179 | evaluate_round 14 received 35 results and 0 failures
DEBUG flower 2023-10-11 17:17:08,468 | server.py:215 | fit_round 15: strategy sampled 35 clients (out of 35)
